title,author,blurb,isbn,call_number,cover_filename
Hotel America,Lewis Lapham,"Winner of the 1995 National Magazine Award for Essays and Criticism, this work observes the spectacle of democratic life and values in our time, and asks who is signing in and who is checking out, of the American experiment at the “fin de siècle.” Culled from Lewis Lapham‘s monthly “Notebook” column for Harper‘s magazine, these essays describe the period between the winter of 1989 and the spring of 1995 in which the American explaining classes were casting around for a national folktale to take the place of the communist conspiracy. In this book, Lewis Lapham draws a portrait of a society a...",1859849520,,Hotel America_86.jpg
Peyakow,Darrel J. McLeod,"Following his award-winning debut memoir, Mamaskatch, which masterfully portrayed a Cree coming-of-age in rural Canada, Darrel J. McLeod continues the poignant story of his adulthood. In Mamaskatch, McLeod captured an early childhood full of the stories, scents, and sensations of his great-grandfather’s cabin, as well as the devastating separation from family, ensuing abuse, and eventual loss of his mother that permeated his adolescence. In the equally potent Peyakow, McLeod follows a young man through many seasons of his life, navigating an ever-turbulent personal and political landscape f...",9781571317438,,Peyakow_87.jpg
Mott Street,Ava Chin,"“Essential reading for understanding not just Chinese American history but American history—and the American present.” —Celeste Ng, #1 bestselling author of Little Fires Everywhere * TIME 100 Must-Read Books of 2023 * San Francisco Chronicle's Favorite Nonfiction * Kirkus Best Nonfiction of 2023 * Winner of the Chinese American Librarians Association Best Non-Fiction Book Prize * Library Journal Best Memoir and Biography of 2023 * One of Elle's Best Memoirs of 2023 (So Far) * An ALA Notable Book * “The Angela’s Ashes for Chinese Americans.” —Miwa Messer, Poured Over podcast As the only chil...",9780525557395,,Mott Street_89.jpg
Historic Black Brooklyn,Brian Merlis,"This book covers the struggle and accomplishments of African Americans in Brooklyn, New York over the last four hundred years and it's profusely illustrated with several hundred never-before-seen photographs that document this incredible story.",1617043435,,
In the Kingdom of Ice,Hampton Sides,"NATIONAL BESTSELLER • A white-knuckle tale of polar exploration and heroism in the Gilded Age from the New York Times bestselling author of Blood and Thunder and Ghost Soldiers. • “A splendid book in every way…a marvelous nonfiction thriller.” —The Wall Street Journal On July 8, 1879, Captain George Washington De Long and his team of thirty-two men set sail from San Francisco on the USS Jeanette. Heading deep into uncharted Arctic waters, they carried the aspirations of a young country burning to be the first nation to reach the North Pole. Two years into the harrowing voyage, the Jeannette...",9780385535380,,In the Kingdom of Ice_91.jpg
Life in the City of Dirty Water,Clayton Thomas-Muller,"*FINALIST FOR 2022 CANADA READS* *SHORTLISTED FOR THE 2022 J.W. DAFOE BOOK PRIZE* *SHORTLISTED FOR THE 2022 MANITOBA BOOK AWARDS’ MCNALLY ROBINSON BOOK OF THE YEAR AWARD* NATIONAL BESTSELLER A gritty and inspiring memoir from renowned Cree environmental activist Clayton Thomas-Muller, who escaped the world of drugs and gang life to take up the warrior’s fight against the assault on Indigenous peoples’ lands—and eventually the warrior’s spirituality. There have been many Clayton Thomas-Mullers: The child who played with toy planes as an escape from domestic and sexual abuse, enduring the int...",9780735240070,,Life in the City of Dirty Water_92.jpg
Who's Your City?,"Professor of Management and Public Policy H John Heinz III School of Public Policy and Management Richard Florida, PhD, Richard Florida","In the age of globalization, some claim that where you live doesn't matter: Alaska, Idaho, and Alabama are interchangeable. The world is, after all, flat. Not so fast. Place, argues the great urbanist Richard Florida, is not only important, it's more important than ever. In fact, choosing a place to live is as important to your happiness as choosing a spouse or career. And some regions, recent surveys show, really are happier than others. In Who's Your City, Creative Class guru Richard Florida reports on this growing body of research that tells us what qualities of cities and towns actually...",9781458760074,,Whos Your City_93.jpg
Who's Your City?,"Professor of Management and Public Policy H John Heinz III School of Public Policy and Management Richard Florida, PhD, Richard Florida","In the age of globalization, some claim that where you live doesn't matter: Alaska, Idaho, and Alabama are interchangeable. The world is, after all, flat. Not so fast. Place, argues the great urbanist Richard Florida, is not only important, it's more important than ever. In fact, choosing a place to live is as important to your happiness as choosing a spouse or career. And some regions, recent surveys show, really are happier than others. In Who's Your City, Creative Class guru Richard Florida reports on this growing body of research that tells us what qualities of cities and towns actually...",9781458760074,,Whos Your City_94.jpg
Claude Lévi-Strauss,Patrick Wilcken,"The first comprehensive biography of 'the father of modern anthropology' 'An intellectual biography that briskly and brilliantly assesses the great, original, creative ideas and their origins in the context of Lévi-Strauss's life from the 1930s to the 1960s in Brazil, New York and Paris' The Times, Biographies of the Year 'Lays out the life with clarity, efficiency, readability and occasionally dissent ... A superbly thrilling life' Guardian Claude Lévi-Strauss, the 'father of modern anthropology' and author of the classic Tristes tropiques, was one of the most influential intellectuals of ...",9781408827338,,Claude Lévi-Strauss_95.jpg
Coming of Age in Second Life,Tom Boellstorff,"Millions of people around the world today spend portions of their lives in online virtual worlds. Second Life is one of the largest of these virtual worlds. The residents of Second Life create communities, buy property and build homes, go to concerts, meet in bars, attend weddings and religious services, buy and sell virtual goods and services, find friendship, fall in love--the possibilities are endless, and all encountered through a computer screen. At the time of its initial publication in 2008, Coming of Age in Second Life was the first book of anthropology to examine this thriving alte...",9781400874101,,Coming of Age in Second Life_97.jpg
The Social Conquest of Earth,Edward O. Wilson,"In a generational work of clarity and passion, one of the greatest living scientists directly addresses these three fundamental questions of religion, philosophy, and science. Includes 90 illustrations.",9780871404138,,The Social Conquest of Earth_98.jpg
